# Constructed from biom file																									
#OTU ID	Bn25	Bn26	Bn27	Bn28	Bn29	Bn30	Bn31	Bn32	Bn33	Bn34	Bn35	Bn36	Bn61	Bn62	Bn63	Bn64	Bn65	Bn66	Bn67	Bn68	Bn69	Bn70	Bn71	Bn72	taxonomy
OTU7	1395	61	217	55	1217	59	120	16	3895	77	163	4	3662	780	373	84	3709	371	123	30	2960	136	55	29	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae; g__Rhodococcus; s__fascians
OTU28	776	88	143	24	182	96	134	7	1239	131	190	9	490	36	22	33	611	23	8	1	414	49	7	10	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Dyadobacter; s__
OTU49	750	126	25	4	174	109	2	0	160	129	39	0	96	7	0	1	96	7	5	0	399	3	1	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Sanguibacteraceae; g__Sanguibacter; s__
OTU37	261	325	280	68	166	287	55	33	200	259	120	17	72	189	73	72	57	92	14	21	78	70	20	23	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__; s__
OTU648	111	2	11	11	65	0	11	8	5	1	15	1	0	0	1	3	1	0	0	2	0	1	0	1	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hylemonella; s__
OTU66	310	94	17	4	126	98	33	3	132	97	55	2	121	63	2	3	186	4	0	0	298	39	4	2	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
OTU21	817	124	63	8	391	178	62	0	630	154	339	1	195	18	24	17	434	16	27	1	157	10	1	4	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__
OTU390	129	8	22	10	27	8	12	7	74	6	44	5	35	4	18	10	25	14	10	0	15	10	0	19	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Mycoplana; s__
OTU95	511	347	41	10	601	318	49	9	137	373	9	4	58	115	19	0	226	5	1	0	122	284	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria
OTU18	1002	1625	339	36	1266	1564	139	61	354	1865	1508	31	275	1031	50	245	752	23	29	12	972	1281	33	23	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
OTU39	2	59	1	0	986	73	5	10	38	116	7	0	2	69	55	5	7	15	1	3	45	78	3	6	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__Methylotenera; s__mobilis
OTU177	670	0	11	2	66	0	4	0	28	0	11	0	4	1	3	0	16	0	0	0	5	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__
OTU76	150	6	3	0	17	1	2	0	73	1	6	0	49	30	1	0	151	0	0	0	78	1	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Pigmentiphaga; s__
OTU3	849	51	343	112	1201	50	3096	55	3670	58	1508	20	2667	119	240	49	5886	60	136	33	4847	54	44	42	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
OTU5	241	3247	401	3	4402	3200	126	3	131	3647	142	0	17	460	1	0	0	9	1	0	562	16	0	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium; s__faecium
OTU143	15	1	3	0	13	0	5	0	128	0	7	0	90	1	8	1	96	0	1	0	54	2	0	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__
OTU12	949	119	29	8	1907	105	5	3	115	110	435	8	4	46	7	1	6	5	0	1	132	4	1	4	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae; g__Ochrobactrum; s__
OTU9	225	70	173	11	210	81	458	4	2255	90	1601	4	505	56	74	12	516	23	64	0	448	22	13	8	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__
OTU2065	2	35	12	0	0	41	1	1	2	50	24	0	4	6	0	0	1	1	0	0	0	63	0	2	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
OTU59	341	123	300	210	169	123	86	105	396	103	105	34	131	525	188	263	211	231	33	73	211	247	117	167	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Aeromicrobium; s__
OTU51	178	28	25	24	252	32	29	7	252	28	55	0	92	83	28	16	145	56	19	4	100	53	7	6	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
OTU45	314	200	11	1	556	197	19	0	20	294	112	0	12	31	0	0	6	1	0	0	3	6	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
OTU88	121	69	165	74	168	70	601	87	554	81	848	14	270	35	86	55	287	17	84	16	494	51	26	31	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
OTU129	69	0	0	0	38	0	8	0	20	0	13	0	32	30	1	0	53	6	2	0	16	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__; s__
OTU321	5	10	12	1	7	18	4	0	61	12	22	0	84	2	17	2	74	1	6	0	41	2	1	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
OTU103	18	7	4	0	15	4	8	1	25	10	15	1	5	19	10	20	27	12	3	0	56	11	2	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__
OTU1334	18	6	7	2	0	6	0	0	0	7	0	0	0	2	4	4	2	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__
OTU477	59	411	39	6	372	439	5	1	11	508	6	0	14	50	0	0	1	0	0	0	5	0	0	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__; s__
OTU396	31	4	2	0	29	3	3	0	60	4	1	0	14	22	7	3	32	10	0	0	25	12	1	2	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Nocardioides; s__plantarum
OTU1100	135	22	24	2	21	10	6	0	243	18	25	0	72	20	11	4	74	13	3	1	74	7	0	1	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
OTU31	197	159	213	243	120	164	381	137	406	179	306	47	325	422	199	188	317	223	34	57	273	169	23	57	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__echinoides
OTU1615	49	1	12	4	231	0	204	1	367	1	142	0	320	8	22	4	448	10	9	0	404	4	2	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
OTU60	521	226	236	82	477	228	123	31	620	203	185	39	422	269	70	59	698	131	31	28	621	112	72	67	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium; s__
OTU473	92	8	19	1	26	0	4	1	18	9	0	1	18	33	7	3	17	37	2	0	12	5	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
OTU57	54	15	70	44	55	14	95	55	332	16	157	26	119	29	37	21	145	11	12	8	159	18	8	31	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__
OTU1848	51	2	9	5	299	2	1878	3	44	0	11	0	5	0	4	0	34	0	0	0	286	0	0	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__
OTU1311	147	99	1	0	266	122	0	0	415	127	0	0	152	875	0	1	263	247	0	0	193	457	0	0	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__
OTU1417	109	1	0	0	9	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	33	4	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__viridiflava
OTU223	75	51	39	37	57	60	89	20	612	74	55	7	106	358	21	7	143	124	8	1	143	181	6	10	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
OTU1174	68	28	151	131	9	33	38	64	60	23	30	28	10	148	81	81	22	60	10	25	41	22	23	25	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__
OTU1075	10	1	0	0	3	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__
OTU185	58	19	10	1	5	28	2	0	3	35	24	0	0	75	0	0	0	0	0	0	32	1	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
OTU56	229	2	21	6	63	8	9	1	214	1	10	5	222	20	21	1	122	14	0	2	154	0	2	1	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae; g__Rhodococcus; s__
OTU128	54	0	1	1	6	2	1	2	140	1	21	0	17	5	8	0	28	3	0	3	23	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales
OTU844	9	2	26	3	0	0	13	0	0	0	7	4	0	2	14	2	3	2	0	0	0	1	16	12	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__; s__
OTU197	39	3	4	2	74	1	6	0	115	2	10	0	7	29	4	3	96	0	3	0	6	0	0	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
OTU10	63	267	75	51	185	239	78	33	3780	287	511	10	106	353	41	18	1408	148	13	5	876	240	24	15	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__succinicans
OTU162	80	22	12	1	4	15	8	6	36	17	23	1	7	77	7	2	16	21	0	2	12	17	3	4	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__; s__
OTU262	16	5	13	4	1	3	11	4	11	5	10	3	11	2	1	1	93	0	0	0	1	2	2	2	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__
OTU291	17	0	4	0	1	0	1	0	315	0	0	0	3	0	0	0	10	3	0	0	1	0	0	0	k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales; f__Parachlamydiaceae; g__Parachlamydia
OTU58	61	48	63	11	2	40	53	0	11	52	127	14	0	13	11	24	12	12	4	2	6	29	11	13	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingopyxis; s__alaskensis
OTU534	10	1	23	9	64	1	6	6	23	0	9	2	2	5	2	7	1	2	3	3	6	1	3	5	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae; g__Rhodococcus; s__
OTU17	59	4	6	3	141	4	31	0	2475	6	14	0	195	14	9	0	190	11	6	1	169	1	0	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Aurantimonadaceae; g__; s__
OTU47	44	552	200	33	22	563	52	16	234	686	32	10	76	55	40	17	33	18	12	8	75	21	4	26	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
OTU1184	55	3	11	3	148	3	95	1	237	2	14	0	279	5	9	4	444	2	12	2	295	0	0	3	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Aurantimonadaceae; g__; s__
OTU347	33	0	11	1	8	0	1	0	5	0	0	0	42	0	0	1	19	1	0	0	42	3	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacterineae; g__; s__
OTU220	4	21	196	200	1	23	136	153	15	21	173	88	12	120	231	202	13	49	53	68	5	27	118	183	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__
OTU364	36	0	2	1	1	0	4	0	83	3	3	0	7	2	3	5	19	1	13	0	12	0	0	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__
OTU299	11	4	62	26	81	0	5	3	42	2	8	8	11	11	22	0	30	2	0	10	30	3	14	8	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Patulibacteraceae; g__; s__
OTU1027	4	0	41	9	0	0	4	0	9	0	6	7	2	4	1	4	2	6	1	5	0	5	5	11	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Amaricoccus; s__
OTU1980	28	8	18	5	31	7	6	1	158	1	7	0	36	24	7	5	59	10	3	2	41	6	4	4	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae
OTU964	2	3	18	8	1	1	13	1	0	3	2	1	2	6	7	0	2	5	0	1	1	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__
OTU879	45	0	0	1	0	0	1	0	37	0	3	0	4	1	2	0	10	4	0	1	0	3	0	0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
OTU113	41	0	4	2	209	1	12	0	102	1	13	0	37	3	2	1	27	0	1	0	105	1	2	4	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
OTU87	71	4	70	27	81	2	27	17	203	5	66	25	165	14	8	27	309	9	7	8	199	11	37	56	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae
OTU1522	59	1	10	8	131	3	34	4	138	1	10	0	190	6	9	5	327	6	5	1	166	6	0	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__adhaesivum
OTU207	20	2	2	0	9	0	1	0	31	0	5	0	24	12	4	1	45	3	0	0	29	1	3	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Williamsiaceae; g__Williamsia; s__
OTU19	10	3001	109	19	3	3082	1	2	4	3006	12	3	1	517	135	37	0	104	0	28	1	186	17	10	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus
OTU750	30	1	49	23	19	2	17	20	111	0	23	10	21	7	29	26	14	5	11	9	16	1	15	31	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Geodermatophilus
OTU175	1	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
OTU98	29	470	7	1	5	483	0	3	1	579	21	0	0	8	0	2	7	32	0	0	8	3	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
OTU902	64	35	112	60	39	30	151	30	227	42	69	9	101	81	66	30	178	47	9	10	144	24	23	22	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
OTU155	1	4	1	1	3	4	5	0	40	4	1	0	35	19	7	3	45	23	4	0	29	27	3	0	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Chlorophyta; f__Trebouxiophyceae; g__; s__
OTU289	78	12	1	0	189	10	107	1	143	19	175	0	232	39	12	2	139	2	8	0	486	4	2	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]
OTU463	17	11	13	1	227	11	26	1	100	19	151	0	35	25	5	10	103	16	2	0	67	11	4	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Dyadobacter; s__
OTU75	66	4	0	0	14	2	2	0	255	0	2	0	42	13	4	2	75	9	0	0	7	3	0	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
OTU1088	4	0	1	0	46	0	284	0	9	1	0	0	1	0	0	0	3	0	0	0	36	0	0	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__
OTU388	47	1	4	0	13	4	0	0	5	0	5	0	11	10	6	0	7	36	1	0	48	6	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
OTU435	20	13	72	33	9	13	17	14	24	12	34	19	18	94	31	24	5	41	9	9	7	24	32	52	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__
OTU2208	16	3	0	1	9	0	4	0	45	2	7	0	27	10	1	1	42	0	2	0	35	2	0	2	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Pigmentiphaga; s__
OTU1760	14	1	2	0	0	0	1	0	27	0	0	0	1	3	0	0	3	0	3	0	1	0	0	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__
OTU527	30	2	2	0	84	6	5	0	14	2	7	0	30	13	1	2	43	0	6	0	66	1	1	3	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
OTU1929	1	10	6	10	9	12	5	6	11	10	10	4	8	33	10	6	6	14	1	4	2	56	14	23	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
OTU68	21	83	64	92	5	66	84	47	3	82	121	16	2	294	46	35	3	94	10	11	6	98	16	11	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter
OTU67	2	0	119	79	0	1	35	58	1	0	113	90	0	1	29	79	0	1	11	15	0	1	81	137	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Balneimonas; s__
OTU1987	7	2	0	0	1	4	2	0	61	1	11	0	3	2	0	1	29	0	3	0	30	1	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__; s__
OTU460	4	6	2	0	0	5	10	0	11	9	26	0	3	1	0	0	96	0	0	0	1	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
OTU114	48	0	29	1	108	0	65	1	279	0	28	0	259	1	12	1	908	0	11	1	445	0	0	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__
OTU251	7	3	7	0	5	1	6	0	33	5	1	3	25	33	12	2	28	16	0	0	20	7	3	4	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__Methylopila; s__
OTU1425	23	2	4	1	55	2	5	0	333	4	9	1	66	14	5	0	90	5	0	0	44	5	0	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Aurantimonadaceae; g__; s__
OTU1857	14	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	12	0	0	0	0	1	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
OTU682	11	0	0	0	1	2	1	2	0	2	2	0	0	3	3	8	1	2	0	0	0	14	1	8	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__; s__
OTU1223	4	0	0	2	0	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	2	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
OTU1773	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__FBP; c__; o__; f__; g__; s__
OTU735	8	0	6	1	7	0	2	0	31	0	1	0	18	0	4	0	29	0	0	1	29	1	0	0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Patulibacteraceae; g__Patulibacter; s__
OTU151	82	1	2	0	8	0	24	0	2	0	16	0	105	0	10	0	39	3	7	0	106	1	0	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
OTU904	2	0	0	1	0	1	0	0	7	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	Unassigned
OTU269	7	27	103	32	0	28	51	23	1	27	38	5	0	153	43	36	2	68	6	10	0	52	20	15	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Methylibium; s__
OTU651	4	2	11	5	0	6	8	6	0	0	5	7	0	3	5	5	0	3	1	0	0	2	0	7	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__
OTU352	10	1	46	43	2	7	12	8	20	7	14	2	8	23	25	2	0	12	0	7	2	3	7	1	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
OTU15	44	2060	267	191	28	2246	30	31	7	2529	432	9	6	29	10	94	6	8	6	5	25	303	6	10	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae
